thrust,mass,accelx,accely,velocityx,velocityy,xpos,ypos
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.051608108108108106,0.9999826086956521,0.0,0.0,0.0,0.0,0.0,0.0
0.10321621621621621,0.9999652173913044,0.0,0.0,0.0,0.0,0.0,0.0
0.1548243243243243,0.9999478260869565,0.0,0.0,0.0,0.0,0.0,0.0
0.20643243243243242,0.9999304347826087,0.0,0.0,0.0,0.0,0.0,0.0
0.25804054054054054,0.9999130434782608,0.0,0.0,0.0,0.0,0.0,0.0
0.3096486486486486,0.9998956521739131,0.0,0.0,0.0,0.0,0.0,0.0
0.3612567567567567,0.9998782608695652,0.0,0.0,0.0,0.0,0.0,0.0
0.41286486486486484,0.9998608695652174,0.0,0.0,0.0,0.0,0.0,0.0
0.46447297297297296,0.9998434782608696,0.0,0.0,0.0,0.0,0.0,0.0
0.5160810810810811,0.9998260869565218,0.0,0.0,0.0,0.0,0.0,0.0
0.5676891891891892,0.9998086956521739,0.0,0.0,0.0,0.0,0.0,0.0
0.6192972972972972,0.999791304347826,0.0,0.0,0.0,0.0,0.0,0.0
0.6709054054054053,0.9997739130434783,0.0,0.0,0.0,0.0,0.0,0.0
0.7225135135135135,0.9997565217391304,0.0,0.0,0.0,0.0,0.0,0.0
0.7741216216216216,0.9997391304347826,0.0,0.0,0.0,0.0,0.0,0.0
0.8257297297297297,0.9997217391304348,0.0,0.0,0.0,0.0,0.0,0.0
0.8773378378378378,0.999704347826087,0.0,0.0,0.0,0.0,0.0,0.0
0.9289459459459459,0.9996869565217391,0.0,0.0,0.0,0.0,0.0,0.0
0.980554054054054,0.9996695652173913,0.0,0.0,0.0,0.0,0.0,0.0
1.0321621621621622,0.9996521739130435,0.0,0.0,0.0,0.0,0.0,0.0
1.0837702702702703,0.9996347826086956,0.0,0.0,0.0,0.0,0.0,0.0
1.1353783783783784,0.9996173913043478,0.0,0.0,0.0,0.0,0.0,0.0
1.1869864864864865,0.9996,0.0,0.0,0.0,0.0,0.0,0.0
1.2385945945945944,0.9995826086956522,0.0,0.0,0.0,0.0,0.0,0.0
1.2902027027027025,0.9995652173913043,0.0,0.0,0.0,0.0,0.0,0.0
1.3418108108108107,0.9995478260869565,0.0,0.0,0.0,0.0,0.0,0.0
1.3934189189189188,0.9995304347826087,0.0,0.0,0.0,0.0,0.0,0.0
1.445027027027027,0.9995130434782609,0.0,0.0,0.0,0.0,0.0,0.0
1.496635135135135,0.999495652173913,0.0,0.0,0.0,0.0,0.0,0.0
1.5482432432432431,0.9994782608695653,0.0,0.0,0.0,0.0,0.0,0.0
